instant,dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
46.0,02-01-2011,1.0,22.0,False,0.0,1.0,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0
47.0,02-01-2011,1.0,23.0,False,0.0,1.0,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0
48.0,03-01-2011,1.0,0.0,False,1.0,1.0,0.22,0.197,0.44,0.3582,0.0,5.0,5.0
49.0,03-01-2011,1.0,1.0,False,1.0,1.0,0.2,,0.44,0.4179,0.0,2.0,2.0
50.0,03-01-2011,1.0,4.0,False,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0
51.0,03-01-2011,1.0,5.0,False,1.0,1.0,0.16,0.1364,0.47,0.2836,0.0,3.0,3.0
52.0,03-01-2011,1.0,6.0,False,1.0,1.0,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0
53.0,03-01-2011,1.0,7.0,False,1.0,1.0,0.14,0.1364,0.5,0.194,1.0,63.0,64.0
54.0,03-01-2011,1.0,8.0,False,1.0,1.0,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0
55.0,03-01-2011,1.0,9.0,False,1.0,1.0,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0
56.0,03-01-2011,1.0,10.0,False,1.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0
57.0,03-01-2011,1.0,11.0,False,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0
58.0,03-01-2011,1.0,12.0,False,1.0,1.0,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0
59.0,03-01-2011,1.0,13.0,False,1.0,1.0,0.24,,0.35,0.2836,8.0,53.0,61.0
60.0,03-01-2011,1.0,14.0,False,1.0,1.0,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0
61.0,03-01-2011,1.0,15.0,False,1.0,1.0,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0
62.0,03-01-2011,1.0,16.0,False,1.0,1.0,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0
63.0,03-01-2011,1.0,17.0,False,1.0,1.0,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0
64.0,03-01-2011,1.0,18.0,False,1.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0
65.0,03-01-2011,1.0,19.0,False,1.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,110.0
66.0,03-01-2011,1.0,20.0,False,1.0,1.0,0.2,,0.47,0.1045,3.0,49.0,52.0
67.0,03-01-2011,1.0,21.0,False,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0
68.0,03-01-2011,1.0,22.0,False,1.0,1.0,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0
69.0,03-01-2011,1.0,23.0,False,1.0,1.0,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0
70.0,04-01-2011,1.0,0.0,False,2.0,1.0,0.16,,0.55,0.1045,0.0,5.0,5.0
71.0,04-01-2011,1.0,1.0,False,2.0,1.0,0.16,0.1818,0.59,0.1045,0.0,2.0,2.0
72.0,04-01-2011,1.0,2.0,False,2.0,1.0,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0
73.0,04-01-2011,1.0,4.0,False,2.0,1.0,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0
74.0,04-01-2011,1.0,5.0,False,2.0,1.0,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0
75.0,04-01-2011,1.0,6.0,False,2.0,1.0,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0
76.0,04-01-2011,1.0,7.0,False,2.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0
77.0,04-01-2011,1.0,8.0,False,2.0,1.0,0.14,0.1515,0.69,0.1642,2.0,162.5,179.0
78.0,04-01-2011,1.0,9.0,False,2.0,1.0,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0
79.0,04-01-2011,1.0,10.0,False,2.0,2.0,0.16,0.1364,0.69,0.3284,5.0,37.0,42.0
80.0,04-01-2011,1.0,11.0,False,2.0,1.0,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0
81.0,04-01-2011,1.0,12.0,False,2.0,1.0,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0
82.0,04-01-2011,1.0,13.0,False,2.0,1.0,0.24,0.2273,0.56,0.194,15.0,79.0,97.0
83.0,04-01-2011,1.0,14.0,False,2.0,1.0,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0
84.0,04-01-2011,1.0,15.0,False,2.0,1.0,0.28,0.2727,0.52,0.2537,15.0,48.0,65.0
85.0,04-01-2011,1.0,16.0,False,2.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0
86.0,04-01-2011,1.0,17.0,False,2.0,1.0,0.28,0.2727,0.48,0.2239,10.0,162.5,183.5
87.0,04-01-2011,1.0,18.0,False,2.0,1.0,0.26,0.2576,0.48,0.194,3.0,162.5,182.0
88.0,04-01-2011,1.0,19.0,False,2.0,1.0,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0
89.0,04-01-2011,1.0,20.0,False,2.0,1.0,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0
90.0,04-01-2011,1.0,21.0,False,2.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0
91.0,04-01-2011,1.0,22.0,False,2.0,1.0,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0
92.0,04-01-2011,1.0,23.0,False,2.0,1.0,0.2,0.2273,0.69,0.0896,2.0,9.0,11.0
93.0,05-01-2011,1.0,0.0,False,3.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0
94.0,05-01-2011,1.0,1.0,False,3.0,1.0,0.16,0.197,0.74,0.0896,0.0,6.0,6.0
95.0,05-01-2011,1.0,2.0,False,3.0,1.0,0.16,0.197,0.74,0.0896,0.0,2.0,2.0
96.0,05-01-2011,1.0,4.0,False,3.0,1.0,0.24,0.2273,0.48,0.2239,0.0,2.0,2.0
97.0,05-01-2011,1.0,5.0,False,3.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0
98.0,05-01-2011,1.0,6.0,False,3.0,1.0,0.2,0.197,0.47,0.2239,0.0,33.0,33.0
99.0,05-01-2011,1.0,7.0,False,3.0,1.0,0.18,0.1818,0.43,0.194,1.0,87.0,88.0
100.0,05-01-2011,1.0,8.0,False,3.0,1.0,0.2,0.1818,0.4,0.2985,3.0,162.5,183.5
101.0,05-01-2011,1.0,9.0,False,3.0,1.0,0.22,0.197,0.37,0.3284,6.0,109.0,115.0
102.0,05-01-2011,1.0,10.0,False,3.0,1.0,0.22,0.197,0.37,0.3284,4.0,53.0,57.0
103.0,05-01-2011,1.0,11.0,False,3.0,1.0,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0
104.0,05-01-2011,1.0,12.0,False,3.0,1.0,0.26,0.2273,0.33,0.3284,5.0,74.0,79.0
105.0,05-01-2011,1.0,13.0,False,3.0,1.0,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0
106.0,05-01-2011,1.0,14.0,False,3.0,1.0,0.3,0.2879,0.28,0.194,10.0,52.0,62.0
107.0,05-01-2011,1.0,15.0,False,3.0,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,62.0
108.0,05-01-2011,1.0,16.0,False,3.0,1.0,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0
109.0,05-01-2011,1.0,17.0,False,3.0,1.0,0.24,0.2273,0.38,0.194,4.0,162.5,183.5
110.0,05-01-2011,1.0,18.0,False,3.0,1.0,0.24,0.2424,0.38,0.1343,3.0,162.5,169.0
111.0,05-01-2011,1.0,19.0,False,3.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0
112.0,05-01-2011,1.0,20.0,False,3.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0
113.0,05-01-2011,1.0,21.0,False,3.0,1.0,0.2,0.197,0.51,0.194,3.0,40.0,43.0
114.0,05-01-2011,1.0,22.0,False,3.0,1.0,0.18,0.197,0.55,0.1343,1.0,41.0,42.0
115.0,05-01-2011,1.0,23.0,False,3.0,1.0,0.2,0.2576,0.47,0.0,1.0,18.0,19.0
116.0,06-01-2011,1.0,0.0,False,4.0,1.0,0.18,0.2424,0.55,0.0,0.0,11.0,11.0
117.0,06-01-2011,1.0,1.0,False,4.0,1.0,0.16,0.2273,0.64,0.0,0.0,4.0,4.0
118.0,06-01-2011,1.0,2.0,False,4.0,1.0,0.16,0.2273,0.64,0.0,0.0,2.0,2.0
119.0,06-01-2011,1.0,4.0,False,4.0,2.0,0.16,0.197,0.64,0.0896,0.0,1.0,1.0
120.0,06-01-2011,1.0,5.0,False,4.0,2.0,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0
121.0,06-01-2011,1.0,6.0,False,4.0,2.0,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0
122.0,06-01-2011,1.0,7.0,False,4.0,2.0,0.16,0.2273,0.59,0.0,0.0,95.0,95.0
123.0,06-01-2011,1.0,8.0,False,4.0,1.0,0.16,0.2273,0.59,0.0,3.0,162.5,183.5
124.0,06-01-2011,1.0,9.0,False,4.0,2.0,0.18,0.2424,0.51,0.0,6.0,116.0,122.0
125.0,06-01-2011,1.0,10.0,False,4.0,1.0,0.2,0.2576,0.47,0.0,3.0,42.0,45.0
126.0,06-01-2011,1.0,11.0,False,4.0,1.0,0.22,0.2576,0.44,0.0896,2.0,57.0,59.0
127.0,06-01-2011,1.0,12.0,False,4.0,1.0,0.26,0.2879,0.35,0.0,6.0,78.0,84.0
128.0,06-01-2011,1.0,13.0,False,4.0,1.0,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0
129.0,06-01-2011,1.0,14.0,False,4.0,1.0,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0
130.0,06-01-2011,1.0,15.0,False,4.0,1.0,0.28,0.2727,0.36,0.0,8.0,54.0,62.0
131.0,06-01-2011,1.0,16.0,False,4.0,1.0,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0
132.0,06-01-2011,1.0,17.0,False,4.0,1.0,0.22,0.2273,0.51,0.1642,9.0,162.5,172.0
133.0,06-01-2011,1.0,18.0,False,4.0,1.0,0.22,0.2273,0.51,0.1343,5.0,158.0,163.0
134.0,06-01-2011,1.0,19.0,False,4.0,1.0,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0
135.0,06-01-2011,1.0,20.0,False,4.0,1.0,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0
136.0,06-01-2011,1.0,21.0,False,4.0,2.0,0.22,0.2121,0.55,0.2239,0.0,48.0,48.0
137.0,06-01-2011,1.0,22.0,False,4.0,2.0,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0
138.0,06-01-2011,1.0,23.0,False,4.0,2.0,0.2,0.197,0.59,0.194,4.0,19.0,23.0
139.0,07-01-2011,1.0,0.0,False,5.0,2.0,0.2,0.197,0.64,0.194,4.0,13.0,17.0
140.0,07-01-2011,1.0,1.0,False,5.0,2.0,0.2,0.197,0.69,0.2239,2.0,5.0,7.0
141.0,07-01-2011,1.0,2.0,False,5.0,2.0,0.2,0.197,0.69,0.2239,0.0,1.0,1.0
142.0,07-01-2011,1.0,4.0,False,5.0,2.0,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0
143.0,07-01-2011,1.0,5.0,False,5.0,3.0,0.22,0.2727,0.55,0.0,0.0,5.0,5.0
144.0,07-01-2011,1.0,6.0,False,5.0,2.0,0.2,0.2576,0.69,0.0,8.0,26.0,34.0
145.0,07-01-2011,1.0,7.0,False,5.0,1.0,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0
146.0,07-01-2011,1.0,8.0,False,5.0,1.0,0.2,0.197,0.51,0.2537,15.0,162.5,183.5
147.0,07-01-2011,1.0,9.0,False,5.0,1.0,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0
148.0,07-01-2011,1.0,10.0,False,5.0,1.0,0.22,0.197,0.37,0.3284,15.0,47.0,63.0
149.0,07-01-2011,1.0,11.0,False,5.0,2.0,0.2,0.197,0.4,0.2239,15.0,48.0,67.0
150.0,07-01-2011,1.0,12.0,False,5.0,2.0,0.2,0.197,0.37,0.2537,9.0,50.0,59.0
151.0,07-01-2011,1.0,13.0,False,5.0,2.0,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0
152.0,07-01-2011,1.0,14.0,False,5.0,2.0,0.2,0.197,0.4,0.2537,7.0,43.0,50.0
153.0,07-01-2011,1.0,15.0,False,5.0,2.0,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0
154.0,07-01-2011,1.0,16.0,False,5.0,2.0,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0
155.0,07-01-2011,1.0,17.0,False,5.0,2.0,0.2,0.2576,0.37,0.0,9.0,162.5,183.5
156.0,07-01-2011,1.0,18.0,False,5.0,1.0,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0
157.0,07-01-2011,1.0,19.0,False,5.0,1.0,0.16,0.197,0.55,0.0896,3.0,92.0,95.0
158.0,07-01-2011,1.0,20.0,False,5.0,1.0,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0
159.0,07-01-2011,1.0,21.0,False,5.0,1.0,0.18,0.197,0.47,0.1343,0.0,39.0,39.0
160.0,07-01-2011,1.0,22.0,False,5.0,2.0,0.18,0.197,0.43,0.1642,2.0,34.0,36.0
161.0,07-01-2011,1.0,23.0,False,5.0,2.0,0.18,0.197,0.51,0.1642,1.0,14.0,15.0
162.0,08-01-2011,1.0,0.0,False,6.0,2.0,0.18,0.197,0.51,0.1642,1.0,24.0,25.0
163.0,08-01-2011,1.0,1.0,False,6.0,2.0,0.18,0.2121,0.55,0.0896,1.0,15.0,16.0
164.0,08-01-2011,1.0,2.0,False,6.0,2.0,0.18,0.2424,0.55,0.0,3.0,13.0,16.0
165.0,08-01-2011,1.0,3.0,False,6.0,3.0,0.18,0.197,0.55,0.1642,0.0,7.0,7.0
166.0,08-01-2011,1.0,4.0,False,6.0,3.0,0.18,0.197,0.55,0.1642,0.0,1.0,1.0
167.0,08-01-2011,1.0,5.0,False,6.0,2.0,0.16,0.1667,0.74,0.1642,0.0,5.0,5.0
168.0,08-01-2011,1.0,6.0,False,6.0,2.0,0.16,0.1667,0.74,0.1642,0.0,2.0,2.0
169.0,08-01-2011,1.0,7.0,False,6.0,2.0,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0
170.0,08-01-2011,1.0,8.0,False,6.0,3.0,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0
171.0,08-01-2011,1.0,9.0,False,6.0,3.0,0.16,0.1818,0.93,0.1045,0.0,20.0,20.0
172.0,08-01-2011,1.0,10.0,False,6.0,2.0,0.18,0.197,0.8,0.1642,5.0,56.0,61.0
173.0,08-01-2011,1.0,11.0,False,6.0,2.0,0.2,0.1818,0.69,0.3881,2.0,60.0,62.0
174.0,08-01-2011,1.0,12.0,False,6.0,2.0,0.2,0.1818,0.59,0.3582,8.0,90.0,98.0
175.0,08-01-2011,1.0,13.0,False,6.0,1.0,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0
176.0,08-01-2011,1.0,14.0,False,6.0,1.0,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0
177.0,08-01-2011,1.0,15.0,False,6.0,1.0,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0
178.0,08-01-2011,1.0,16.0,False,6.0,1.0,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0
179.0,08-01-2011,1.0,17.0,False,6.0,1.0,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0
180.0,08-01-2011,1.0,18.0,False,6.0,1.0,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0
181.0,08-01-2011,1.0,19.0,False,6.0,1.0,0.14,0.1212,0.36,0.2537,4.0,26.0,30.0
182.0,08-01-2011,1.0,20.0,False,6.0,1.0,0.12,0.1212,0.36,0.2537,0.0,28.0,28.0
183.0,08-01-2011,1.0,21.0,False,6.0,1.0,0.12,0.1061,0.39,0.3582,2.0,35.0,37.0
184.0,08-01-2011,1.0,22.0,False,6.0,1.0,0.12,0.1061,0.36,0.3881,1.0,33.0,34.0
185.0,08-01-2011,1.0,23.0,False,6.0,1.0,0.1,0.0606,0.39,0.4478,0.0,22.0,22.0
186.0,09-01-2011,1.0,0.0,False,0.0,1.0,0.1,0.0758,0.42,0.3881,1.0,24.0,25.0
187.0,09-01-2011,1.0,1.0,False,0.0,1.0,0.1,0.0606,0.42,0.4627,0.0,12.0,12.0
188.0,09-01-2011,1.0,2.0,False,0.0,1.0,0.1,0.0606,0.46,0.4627,0.0,11.0,11.0
189.0,09-01-2011,1.0,3.0,False,0.0,1.0,0.1,0.0758,0.46,0.4179,0.0,4.0,4.0
190.0,09-01-2011,1.0,4.0,False,0.0,1.0,0.08,0.0909,0.53,0.194,0.0,1.0,1.0
191.0,09-01-2011,1.0,5.0,False,0.0,1.0,0.08,0.0909,0.53,0.194,0.0,1.0,1.0
192.0,09-01-2011,1.0,6.0,False,0.0,1.0,0.1,0.0909,0.49,0.2836,0.0,1.0,1.0
193.0,09-01-2011,1.0,7.0,False,0.0,1.0,0.08,0.0909,0.53,0.194,1.0,5.0,6.0
194.0,09-01-2011,1.0,8.0,False,0.0,1.0,0.1,0.0909,0.49,0.2836,0.0,10.0,10.0
195.0,09-01-2011,1.0,9.0,False,0.0,1.0,0.12,0.0758,0.46,0.5224,0.0,19.0,19.0
196.0,09-01-2011,1.0,10.0,False,0.0,1.0,0.14,0.1061,0.43,0.3881,0.0,49.0,49.0
197.0,09-01-2011,1.0,11.0,False,0.0,1.0,0.16,0.1212,0.4,0.5224,2.0,47.0,49.0
198.0,09-01-2011,1.0,12.0,False,0.0,1.0,0.18,0.1364,0.37,0.4478,4.0,79.0,83.0
199.0,09-01-2011,1.0,13.0,False,0.0,1.0,0.2,0.1667,0.34,0.4478,6.0,69.0,75.0
200.0,09-01-2011,1.0,14.0,False,0.0,1.0,0.22,0.1818,0.32,0.4627,8.0,64.0,72.0
201.0,09-01-2011,1.0,15.0,False,0.0,1.0,0.22,0.197,0.35,0.3582,5.0,77.0,82.0
202.0,09-01-2011,1.0,16.0,False,0.0,1.0,0.2,0.1667,0.34,0.4478,13.0,79.0,92.0
203.0,09-01-2011,1.0,17.0,False,0.0,1.0,0.18,0.1515,0.37,0.3881,3.0,59.0,62.0
204.0,09-01-2011,1.0,18.0,False,0.0,1.0,0.16,0.1364,0.4,0.3284,4.0,44.0,48.0
205.0,09-01-2011,1.0,19.0,False,0.0,1.0,0.16,0.1364,0.43,0.3284,1.0,40.0,41.0
206.0,09-01-2011,1.0,20.0,False,0.0,1.0,0.14,0.1212,0.46,0.2537,0.0,38.0,38.0
207.0,09-01-2011,1.0,21.0,False,0.0,1.0,0.14,0.1061,0.46,0.4179,1.0,19.0,20.0
208.0,09-01-2011,1.0,22.0,False,0.0,1.0,0.14,0.1212,0.46,0.2985,5.0,10.0,15.0
209.0,09-01-2011,1.0,23.0,False,0.0,1.0,0.12,0.1364,0.5,0.194,0.0,6.0,6.0
210.0,10-01-2011,1.0,0.0,False,1.0,1.0,0.12,0.1212,0.5,0.2836,2.0,3.0,5.0
211.0,10-01-2011,1.0,1.0,False,1.0,1.0,0.12,0.1212,0.5,0.2836,1.0,0.0,1.0
212.0,10-01-2011,1.0,2.0,False,1.0,1.0,0.12,0.1212,0.5,0.2239,0.0,3.0,3.0
213.0,10-01-2011,1.0,3.0,False,1.0,1.0,0.12,0.1212,0.5,0.2239,0.0,1.0,1.0
214.0,10-01-2011,1.0,4.0,False,1.0,1.0,0.1,0.1212,0.54,0.1343,1.0,2.0,3.0
215.0,10-01-2011,1.0,5.0,False,1.0,1.0,0.1,0.1061,0.54,0.2537,0.0,3.0,3.0
216.0,10-01-2011,1.0,6.0,False,1.0,1.0,0.12,0.1212,0.5,0.2836,0.0,31.0,31.0
217.0,10-01-2011,1.0,7.0,False,1.0,1.0,0.12,0.1212,0.5,0.2239,2.0,75.0,77.0
218.0,10-01-2011,1.0,8.0,False,1.0,2.0,0.12,0.1212,0.5,0.2836,4.0,162.5,183.5
219.0,10-01-2011,1.0,9.0,False,1.0,2.0,0.14,0.1212,0.5,0.2537,2.0,92.0,94.0
220.0,10-01-2011,1.0,10.0,False,1.0,2.0,0.14,0.1212,0.5,0.2985,0.0,31.0,31.0
221.0,10-01-2011,1.0,11.0,False,1.0,2.0,0.16,0.1364,0.47,0.2836,2.0,28.0,30.0
222.0,10-01-2011,1.0,12.0,False,1.0,2.0,0.2,0.1818,0.4,0.2836,5.0,47.0,52.0
223.0,10-01-2011,1.0,13.0,False,1.0,2.0,0.2,0.1818,0.4,0.2836,4.0,50.0,54.0
224.0,10-01-2011,1.0,14.0,False,1.0,2.0,0.2,0.197,0.4,0.2239,0.0,47.0,47.0
225.0,10-01-2011,1.0,15.0,False,1.0,2.0,0.2,0.197,0.4,0.2239,2.0,43.0,45.0
226.0,10-01-2011,1.0,16.0,False,1.0,1.0,0.2,0.2121,0.4,0.1343,4.0,70.0,74.0
227.0,10-01-2011,1.0,17.0,False,1.0,1.0,0.2,0.2273,0.4,0.1045,4.0,162.5,178.0
228.0,10-01-2011,1.0,18.0,False,1.0,1.0,0.2,0.197,0.4,0.2239,1.0,154.0,155.0
229.0,10-01-2011,1.0,19.0,False,1.0,1.0,0.16,0.1667,0.47,0.1642,3.0,92.0,95.0
230.0,10-01-2011,1.0,20.0,False,1.0,1.0,0.16,0.1667,0.5,0.1642,1.0,73.0,74.0
231.0,10-01-2011,1.0,21.0,False,1.0,1.0,0.14,0.1364,0.59,0.194,1.0,37.0,38.0
232.0,10-01-2011,1.0,22.0,False,1.0,1.0,0.14,0.1515,0.59,0.1642,2.0,22.0,24.0
233.0,10-01-2011,1.0,23.0,False,1.0,1.0,0.14,0.1515,0.59,0.1642,0.0,18.0,18.0
234.0,11-01-2011,1.0,0.0,False,2.0,1.0,0.14,0.1667,0.59,0.1045,2.0,10.0,12.0
235.0,11-01-2011,1.0,1.0,False,2.0,1.0,0.14,0.1515,0.59,0.1642,0.0,3.0,3.0
236.0,11-01-2011,1.0,2.0,False,2.0,2.0,0.16,0.1515,0.55,0.194,0.0,3.0,3.0
237.0,11-01-2011,1.0,5.0,False,2.0,2.0,0.16,0.1818,0.55,0.1343,0.0,6.0,6.0
